Sample ID,Well,16S_per_ul,core_type,seq_id_raw,seq_id,Material
BB10Inner,F02,247,Inner,BB10,BB10,Wood
BB3Inner,F03,158,Inner,BB3,BB3,Wood
BBX6Inner,F04,2219,Inner,BBX6,BBX6,Wood
SH1Inner,F05,2,Inner,SH1,SH1,Wood
AB4slash6Inner,F06,1837,Inner,AB4slash6,AB4/6,Wood
WA10Inner,F07,47,Inner,WA10,WA10,Wood
WA14Inner96c,F08,5,er96c,WA14Inn,WA14,Wood
WP102Inner,F09,13,Inner,WP102,WP102,Wood
WP5Inner,F10,1439,Inner,WP5,WP5,Wood
WPX5Inner,F11,4,Inner,WPX5,WPX5,Wood
RO10Inner,F12,56,Inner,RO10,RO10,Wood
YB3Inner,G01,3,Inner,YB3,YB3,Wood
BB10primeInner,G02,10,Inner,BB10prime,BB10',Wood
BB5Inner,G03,10882,Inner,BB5,BB5,Wood
BBX7Inner,G04,560,Inner,BBX7,BBX7,Wood
AB1Inner,G05,1924,Inner,AB1,AB1,Wood
AB5Inner,G06,921,Inner,AB5,AB5,Wood
WA101Inner,G07,60,Inner,WA101,WA101,Wood
WA14Inner97c,G08,4,er97c,WA14Inn,WA14,Wood
WP103Inner,G09,3,Inner,WP103,WP103,Wood
WP6Inner,G10,2,Inner,WP6,WP6,Wood
None,G11,NA,None,NA,NA,Wood
RO101Inner,G12,3,Inner,RO101,RO101,Wood
YB4Inner,H01,14286,Inner,YB4,YB4,Wood
BB11Inner,H02,976,Inner,BB11,BB11,Wood
BB6Inner,H03,46,Inner,BB6,BB6,Wood
PB1Inner,H04,39,Inner,PB1,PB1,Wood
AB10Inner,H05,16,Inner,AB10,AB10,Wood
AB501Inner,H06,110,Inner,AB501,AB501,Wood
None,H07,NA,None,NA,NA,Wood
WA15Inner,H08,4,Inner,WA15,WA15,Wood
WP2Inner,H09,16,Inner,WP2,WP2,Wood
None,H10,NA,None,NA,NA,Wood
None,H11,NA,None,NA,NA,Wood
None,H12,NA,None,NA,NA,Wood
RO103Inner,A01,18,Inner,RO103,RO103,Wood
RO8Inner,A02,12,Inner,RO8,RO8,Wood
H2Inner,A03,129,Inner,H2,H2,Wood
None,A04,NA,None,NA,NA,Wood
None,A05,NA,None,NA,NA,Wood
YB3Outer,A06,19,Outer,YB3,YB3,Wood
BB10primeOuter,A07,17,Outer,BB10prime,BB10',Wood
None,A08,NA,None,NA,NA,Wood
None,A09,NA,None,NA,NA,Wood
None,A10,NA,None,NA,NA,Wood
None,A11,NA,None,NA,NA,Wood
None,A12,NA,None,NA,NA,Wood
None,B01,NA,None,NA,NA,Wood
RO9Inner,B02,107,Inner,RO9,RO9,Wood
H3Inner,B03,41,Inner,H3,H3,Wood
HX4Inner,B04,99,Inner,HX4,HX4,Wood
None,B05,NA,None,NA,NA,Wood
YB4Outer,B06,109,Outer,YB4,YB4,Wood
BB11Outer,B07,7,Outer,BB11,BB11,Wood
None,B08,NA,None,NA,NA,Wood
None,B09,NA,None,NA,NA,Wood
None,B10,NA,None,NA,NA,Wood
None,B11,NA,None,NA,NA,Wood
None,B12,NA,None,NA,NA,Wood
RO105Inner,C01,10,Inner,RO105,RO105,Wood
BO1Inner,C02,120,Inner,BO1,BO1,Wood
H301Inner,C03,13,Inner,H301,H301,Wood
HX5Inner,C04,91,Inner,HX5,HX5,Wood
None,C05,NA,None,NA,NA,Wood
YB5Outer,C06,102,Outer,YB5,YB5,Wood
BB12Outer,C07,6,Outer,BB12,BB12,Wood
None,C08,NA,None,NA,NA,Wood
None,C09,NA,None,NA,NA,Wood
None,C10,NA,None,NA,NA,Wood
None,C11,NA,None,NA,NA,Wood
None,C12,NA,None,NA,NA,Wood
RO11Inner,D01,9,Inner,RO11,RO11,Wood
SA1Inner,D02,23,Inner,SA1,SA1,Wood
H4Inner,D03,19,Inner,H4,H4,Wood
HZ1Inner,D04,62,Inner,HZ1,HZ1,Wood
None,D05,NA,None,NA,NA,Wood
YB9Outer,D06,71,Outer,YB9,YB9,Wood
BB13Outer,D07,13,Outer,BB13,BB13,Wood
None,D08,NA,None,NA,NA,Wood
None,D09,NA,None,NA,NA,Wood
None,D10,NA,None,NA,NA,Wood
None,D11,NA,None,NA,NA,Wood
None,D12,NA,None,NA,NA,Wood
RO13Inner,E01,12,Inner,RO13,RO13,Wood
H101Inner,E02,17,Inner,H101,H101,Wood
H5Inner,E03,66,Inner,H5,H5,Wood
None,E04,NA,None,NA,NA,Wood
None,E05,NA,None,NA,NA,Wood
None,E06,NA,None,NA,NA,Wood
BB14Outer,E07,16,Outer,BB14,BB14,Wood
None,E08,NA,None,NA,NA,Wood
None,E09,NA,None,NA,NA,Wood
None,E10,NA,None,NA,NA,Wood
None,E11,NA,None,NA,NA,Wood
None,E12,NA,None,NA,NA,Wood
RO2Inner,F01,23,Inner,RO2,RO2,Wood
H102Inner,F02,22,Inner,H102,H102,Wood
None,F03,NA,None,NA,NA,Wood
None,F04,NA,None,NA,NA,Wood
None,F05,NA,None,NA,NA,Wood
None,F06,NA,None,NA,NA,Wood
BB16Outer,F07,18,Outer,BB16,BB16,Wood
None,F08,NA,None,NA,NA,Wood
None,F09,NA,None,NA,NA,Wood
None,F10,NA,None,NA,NA,Wood
None,F11,NA,None,NA,NA,Wood
None,F12,NA,None,NA,NA,Wood
None,G01,NA,None,NA,NA,Wood
H103Inner,G02,115,Inner,H103,H103,Wood
H9Inner,G03,495,Inner,H9,H9,Wood
None,G04,NA,None,NA,NA,Wood
None,G05,NA,None,NA,NA,Wood
BB1Outer,G06,80,Outer,BB1,BB1,Wood
BB16primeOuter,G07,26,Outer,BB16prime,BB16',Wood
None,G08,NA,None,NA,NA,Wood
None,G09,NA,None,NA,NA,Wood
None,G10,NA,None,NA,NA,Wood
None,G11,NA,None,NA,NA,Wood
None,G12,NA,None,NA,NA,Wood
RO7Inner,H01,119,Inner,RO7,RO7,Wood
None,H02,NA,None,NA,NA,Wood
HX2Inner,H03,98,Inner,HX2,HX2,Wood
None,H04,NA,None,NA,NA,Wood
None,H05,NA,None,NA,NA,Wood
BB10Outer,H06,26,Outer,BB10,BB10,Wood
BB3Outer,H07,11,Outer,BB3,BB3,Wood
None,H08,NA,None,NA,NA,Wood
None,H09,NA,None,NA,NA,Wood
None,H10,NA,None,NA,NA,Wood
None,H11,NA,None,NA,NA,Wood
None,H12,NA,None,NA,NA,Wood
None,A01,NA,None,NA,NA,Wood
YB5Organic,A02,96461,Organic,YB5,YB5,Soil
BB12Organic,A03,231986,Organic,BB12,BB12,Soil
BB7Organic,A04,87800,Organic,BB7,BB7,Soil
PB2Organic,A05,71446,Organic,PB2,PB2,Soil
AB11Organic,A06,118595,Organic,AB11,AB11,Soil
AB6Organic,A07,38634,Organic,AB6,AB6,Soil
None,A08,NA,None,NA,NA,Soil
WA5Organic,A09,138113,Organic,WA5,WA5,Soil
WP3Organic,A10,123882,Organic,WP3,WP3,Soil
WP8Organic,A11,32253,Organic,WP8,WP8,Soil
BC2Organic,A12,11725,Organic,BC2,BC2,Soil
None,B01,NA,None,NA,NA,Soil
YB9Organic,B02,216740,Organic,YB9,YB9,Soil
BB13Organic,B03,121151,Organic,BB13,BB13,Soil
BB8Organic,B04,211812,Organic,BB8,BB8,Soil
PB3Organic,B05,25509,Organic,PB3,PB3,Soil
AB2Organic,B06,106299,Organic,AB2,AB2,Soil
AB6primeOrganic,B07,38507,Organic,AB6prime,AB6',Soil
None,B08,NA,None,NA,NA,Soil
None,B09,NA,None,NA,NA,Soil
WP4Organic,B10,69116,Organic,WP4,WP4,Soil
WP9Organic,B11,77973,Organic,WP9,WP9,Soil
BC4Organic,B12,29448,Organic,BC4,BC4,Soil
YB13Organic,C01,164343,Organic,YB13,YB13,Soil
None,C02,NA,None,NA,NA,Soil
BB14Organic,C03,83717,Organic,BB14,BB14,Soil
BB9Organic,C04,119866,Organic,BB9,BB9,Soil
PB4Organic,C05,27630,Organic,PB4,PB4,Soil
None,C06,NA,None,NA,NA,Soil
AB9Organic,C07,90654,Organic,AB9,AB9,Soil
None,C08,NA,None,NA,NA,Soil
ML2Organic,C09,44504,Organic,ML2,ML2,Soil
WP401Organic,C10,47220,Organic,WP401,WP401,Soil
WPBERENICEOrganic,C11,343442,Organic,WPBERENICE,WPBERENICE,Soil
WO1Organic,C12,47108,Organic,WO1,WO1,Soil
YB14Organic,D01,175823,Organic,YB14,YB14,Soil
YBYBOrganic,D02,60671,Organic,YBYB,YBYB,Soil
BB16Organic,D03,88931,Organic,BB16,BB16,Soil
BBGT1Organic,D04,104009,Organic,BBGT1,BBGT1,Soil
PB5Organic,D05,38425,Organic,PB5,PB5,Soil
AB3slash5Organic,D06,70688,Organic,AB3slash5,AB3/5,Soil
ABT14POrganic,D07,81197,Organic,ABT14P,ABT14P,Soil
WA104Organic,D08,161375,Organic,WA104,WA104,Soil
MLGPOrganic,D09,110852,Organic,MLGP,MLGP,Soil
WP402Organic,D10,151444,Organic,WP402,WP402,Soil
WPX2Organic,D11,292685,Organic,WPX2,WPX2,Soil
None,D12,NA,None,NA,NA,Soil
YB15Organic,E01,88994,Organic,YB15,YB15,Soil
BB1Organic,E02,57577,Organic,BB1,BB1,Soil
BB16primeOrganic,E03,113592,Organic,BB16prime,BB16',Soil
BBX1Organic,E04,502698,Organic,BBX1,BBX1,Soil
PB501Organic,E05,6178,Organic,PB501,PB501,Soil
AB4Organic,E06,83955,Organic,AB4,AB4,Soil
WA1Organic,E07,450578,Organic,WA1,WA1,Soil
WA12Organic,E08,1100204,Organic,WA12,WA12,Soil
WP101Organic,E09,60585,Organic,WP101,WP101,Soil
WP403Organic,E10,111167,Organic,WP403,WP403,Soil
None,E11,NA,None,NA,NA,Soil
RO1Organic,E12,24549,Organic,RO1,RO1,Soil
None,F01,NA,None,NA,NA,Soil
BB10Organic,F02,195326,Organic,BB10,BB10,Soil
BB3Organic,F03,31933,Organic,BB3,BB3,Soil
BBX6Organic,F04,235200,Organic,BBX6,BBX6,Soil
SH1Organic,F05,68286,Organic,SH1,SH1,Soil
AB4slash6Organic,F06,108667,Organic,AB4slash6,AB4/6,Soil
WA10Organic,F07,167928,Organic,WA10,WA10,Soil
None,F08,NA,None,NA,NA,Soil
None,F09,NA,None,NA,NA,Soil
WP5Organic,F10,66026,Organic,WP5,WP5,Soil
WPX5Organic,F11,293727,Organic,WPX5,WPX5,Soil
RO10Organic,F12,8135,Organic,RO10,RO10,Soil
YB3Organic,G01,39805,Organic,YB3,YB3,Soil
BB10primeOrganic,G02,72934,Organic,BB10prime,BB10',Soil
BB5Organic,G03,45950,Organic,BB5,BB5,Soil
BBX7Organic,G04,468874,Organic,BBX7,BBX7,Soil
AB1Organic,G05,62732,Organic,AB1,AB1,Soil
AB5Organic,G06,55277,Organic,AB5,AB5,Soil
WA101Organic,G07,46454,Organic,WA101,WA101,Soil
None,G08,NA,None,NA,NA,Soil
WP103Organic,G09,43133,Organic,WP103,WP103,Soil
WP6Organic,G10,10941,Organic,WP6,WP6,Soil
WPX7Organic,G11,591555,Organic,WPX7,WPX7,Soil
RO101Organic,G12,17085,Organic,RO101,RO101,Soil
YB4Organic,H01,29073,Organic,YB4,YB4,Soil
BB11Organic,H02,33979,Organic,BB11,BB11,Soil
BB6Organic,H03,42475,Organic,BB6,BB6,Soil
PB1Organic,H04,49983,Organic,PB1,PB1,Soil
AB10Organic,H05,80165,Organic,AB10,AB10,Soil
AB501Organic,H06,33206,Organic,AB501,AB501,Soil
empty,H07,71,empty,NA,NA,Soil
WA15Organic,H08,224581,Organic,WA15,WA15,Soil
WP2Organic,H09,2948,Organic,WP2,WP2,Soil
WP7Organic,H10,34628,Organic,WP7,WP7,Soil
BC1Organic,H11,12884,Organic,BC1,BC1,Soil
RO102Organic,H12,70588,Organic,RO102,RO102,Soil
RO103Organic,A01,116176,Organic,RO103,RO103,Soil
None,A02,NA,None,NA,NA,Soil
H2Organic,A03,32422,Organic,H2,H2,Soil
HX3Organic,A04,385354,Organic,HX3,HX3,Soil
WA104InsideRot,A05,17211,NA,WA104InsideRot,NA,Soil
WPBereniceMineral,A06,218908,Mineral,WPBerenice,WPBerenice,Soil
None,A07,NA,None,NA,NA,Soil
None,A08,NA,None,NA,NA,Soil
None,A09,NA,None,NA,NA,Soil
None,A10,NA,None,NA,NA,Soil
None,A11,NA,None,NA,NA,Soil
None,A12,NA,None,NA,NA,Soil
RO104Organic,B01,113754,Organic,RO104,RO104,Soil
RO9Organic,B02,43072,Organic,RO9,RO9,Soil
None,B03,NA,None,NA,NA,Soil
HX4Organic,B04,25819,Organic,HX4,HX4,Soil
YB10TopMuck,B05,87077,NA,YB10TopMuck,NA,Soil
RO7slash8Mineral,B06,78997,Mineral,RO7slash8,RO7/8,Soil
None,B07,NA,None,NA,NA,Soil
None,B08,NA,None,NA,NA,Soil
None,B09,NA,None,NA,NA,Soil
None,B10,NA,None,NA,NA,Soil
None,B11,NA,None,NA,NA,Soil
None,B12,NA,None,NA,NA,Soil
RO105Organic,C01,168363,Organic,RO105,RO105,Soil
BO1Organic,C02,176118,Organic,BO1,BO1,Soil
H301Organic,C03,45495,Organic,H301,H301,Soil
None,C04,NA,None,NA,NA,Soil
YB10BottomMuck,C05,526,NA,YB10BottomMuck,NA,Soil
RM301Organic,C06,32529,Organic,RM301,RM301,Soil
None,C07,NA,None,NA,NA,Soil
None,C08,NA,None,NA,NA,Soil
None,C09,NA,None,NA,NA,Soil
None,C10,NA,None,NA,NA,Soil
None,C11,NA,None,NA,NA,Soil
None,C12,NA,None,NA,NA,Soil
RO11Organic,D01,37551,Organic,RO11,RO11,Soil
SA1Organic,D02,325928,Organic,SA1,SA1,Soil
H4Organic,D03,195515,Organic,H4,H4,Soil
HZ1Organic,D04,184839,Organic,HZ1,HZ1,Soil
YB10MicrobialGoo,D05,26383,NA,YB10MicrobialGoo,NA,Soil
SM15Organic,D06,298857,Organic,SM15,SM15,Soil
None,D07,NA,None,NA,NA,Soil
None,D08,NA,None,NA,NA,Soil
None,D09,NA,None,NA,NA,Soil
None,D10,NA,None,NA,NA,Soil
None,D11,NA,None,NA,NA,Soil
None,D12,NA,None,NA,NA,Soil
RO13Organic,E01,48123,Organic,RO13,RO13,Soil
H101Organic,E02,89461,Organic,H101,H101,Soil
H5Organic,E03,49594,Organic,H5,H5,Soil
RM10TopMuck,E04,116040,NA,RM10TopMuck,RM10TopMuck,Soil
YB2TopMuck,E05,286,NA,YB2TopMuck,YB2TopMuck,Soil
None,E06,NA,None,NA,NA,Soil
None,E07,NA,None,NA,NA,Soil
None,E08,NA,None,NA,NA,Soil
None,E09,NA,None,NA,NA,Soil
None,E10,NA,None,NA,NA,Soil
None,E11,NA,None,NA,NA,Soil
None,E12,NA,None,NA,NA,Soil
RO2Organic,F01,99880,Organic,RO2,RO2,Soil
H102Organic,F02,157818,Organic,H102,H102,Soil
H8Organic,F03,69592,Organic,H8,H8,Soil
RM10BottomMuck,F04,11410,NA,RM10BottomMuck,RM10BottomMuck,Soil
YB9Muck,F05,38534,NA,YB9Muck,YB9Muck,Soil
None,F06,NA,None,NA,NA,Soil
None,F07,NA,None,NA,NA,Soil
None,F08,NA,None,NA,NA,Soil
None,F09,NA,None,NA,NA,Soil
None,F10,NA,None,NA,NA,Soil
None,F11,NA,None,NA,NA,Soil
None,F12,NA,None,NA,NA,Soil
RO3Organic,G01,37507,Organic,RO3,RO3,Soil
H103Organic,G02,110694,Organic,H103,H103,Soil
H9Organic,G03,61496,Organic,H9,H9,Soil
RM5Muck,G04,65996,NA,RM5Muck,RM5Muck,Soil
None,G05,NA,None,NA,NA,Soil
None,G06,NA,None,NA,NA,Soil
None,G07,NA,None,NA,NA,Soil
None,G08,NA,None,NA,NA,Soil
None,G09,NA,None,NA,NA,Soil
None,G10,NA,None,NA,NA,Soil
None,G11,NA,None,NA,NA,Soil
None,G12,NA,None,NA,NA,Soil
RO7Organic,H01,86684,Organic,RO7,RO7,Soil
H104Organic,H02,32032,Organic,H104,H104,Soil
HX2Organic,H03,237890,Organic,HX2,HX2,Soil
RMS1Aquatic,H04,4297,Aquatic,RMS1,RMS1,Soil
RM301Mineral,H05,48894,Mineral,RM301,RM301,Soil
None,H06,NA,None,NA,NA,Soil
None,H07,NA,None,NA,NA,Soil
None,H08,NA,None,NA,NA,Soil
None,H09,NA,None,NA,NA,Soil
None,H10,NA,None,NA,NA,Soil
None,H11,NA,None,NA,NA,Soil
None,H12,NA,None,NA,NA,Soil
QUVE50SAP,A01,1801,Outer,QUVE50SAP,QUVE50SAP,QUVE
QUVE125HEART1,A02,2611,Inner,QUVE125HEART1,QUVE125HEART1,QUVE
QUVE200HEART2,A03,1896,Inner,QUVE200HEART2,QUVE200HEART2,QUVE
QUVE400BARK1,A04,18174,Bark,QUVE400BARK1,QUVE400BARK1,QUVE
QUVEBRANCH4INT,A05,529,Branch,QUVEBRANCH4INT,QUVEBRANCH4INT,QUVE
QUVEFINE3,A06,1007,Fine,QUVEFINE3,QUVEFINE3,QUVE
QUVELITTER1,A07,30535,Litter,QUVELITTER1,QUVELITTER1,QUVE
QUVEORGANIC1,A08,210163,Organic,QUVEORGANIC1,QUVEORGANIC1,QUVE
None,A09,NA,None,NA,NA,QUVE
None,A10,NA,None,NA,NA,QUVE
None,A11,NA,None,NA,NA,QUVE
None,A12,NA,None,NA,NA,QUVE
QUVE125SAP,B01,215,Outer,QUVE125SAP,QUVE125SAP,QUVE
QUVE200HEART1,B02,2855,Inner,QUVE200HEART1,QUVE200HEART1,QUVE
QUVE400HEART2,B03,1900,Inner,QUVE400HEART2,QUVE400HEART2,QUVE
QUVE600BARK1,B04,1270,Bark,QUVE600BARK1,QUVE600BARK1,QUVE
QUVECOARSE1,B05,383,Coarse,QUVECOARSE1,QUVECOARSE1,QUVE
QUVEFINE4,B06,1770,Fine,QUVEFINE4,QUVEFINE4,QUVE
QUVELITTER2,B07,148989,Litter,QUVELITTER2,QUVELITTER2,QUVE
QUVEORGANIC2,B08,2913,Organic,QUVEORGANIC2,QUVEORGANIC2,QUVE
None,B09,NA,None,NA,NA,QUVE
None,B10,NA,None,NA,NA,QUVE
None,B11,NA,None,NA,NA,QUVE
None,B12,NA,None,NA,NA,QUVE
QUVE200SAP,C01,1885,Outer,QUVE200SAP,QUVE200SAP,QUVE
QUVE400HEART1,C02,3163,Inner,QUVE400HEART1,QUVE400HEART1,QUVE
QUVE600HEART2,C03,2024,Inner,QUVE600HEART2,QUVE600HEART2,QUVE
QUVE800BARK1,C04,646,Bark,QUVE800BARK1,QUVE800BARK1,QUVE
QUVECOARSE2EPI,C05,371,Coarse,QUVECOARSE2EPI,QUVECOARSE2EPI,QUVE
QUVEFOLIAGE1,C06,526,Folige,QUVEFOLIAGE1,QUVEFOLIAGE1,QUVE
QUVELITTER3,C07,72366,Litter,QUVELITTER3,QUVELITTER3,QUVE
QUVEORGANIC3,C08,414035,Organic,QUVEORGANIC3,QUVEORGANIC3,QUVE
None,C09,NA,None,NA,NA,QUVE
None,C10,NA,None,NA,NA,QUVE
None,C11,NA,None,NA,NA,QUVE
None,C12,NA,None,NA,NA,QUVE
QUVE400SAP,D01,2024,Outer,QUVE400SAP,QUVE400SAP,QUVE
QUVE600HEART1,D02,2315,Inner,QUVE600HEART1,QUVE600HEART1,QUVE
QUVE800HEART2,D03,2252,Inner,QUVE800HEART2,QUVE800HEART2,QUVE
QUVE1000BARK1,D04,8003,Bark,QUVE1000BARK1,QUVE1000BARK1,QUVE
QUVECOARSE2INT,D05,359,Coarse,QUVECOARSE2INT,QUVECOARSE2INT,QUVE
QUVEFOLIAGE2,D06,9582,Foliage,QUVEFOLIAGE2,QUVEFOLIAGE2,QUVE
QUVELITTER4,D07,226286,Litter,QUVELITTER4,QUVELITTER4,QUVE
QUVEORGANIC4,D08,371900,Organic,QUVEORGANIC4,QUVEORGANIC4,QUVE
None,D09,NA,None,NA,NA,QUVE
None,D10,NA,None,NA,NA,QUVE
None,D11,NA,None,NA,NA,QUVE
None,D12,NA,None,NA,NA,QUVE
QUVE600SAP,E01,297,Outer,QUVE600SAP,QUVE600SAP,QUVE
QUVE800HEART1,E02,2198,Inner,QUVE800HEART1,QUVE800HEART1,QUVE
QUVE1000HEART2,E03,1892,Inner,QUVE1000HEART2,QUVE1000HEART2,QUVE
QUVEBRANCH1,E04,1640,Branch,QUVEBRANCH1,QUVEBRANCH1,QUVE
QUVECOARSE3,E05,372,Coarse,QUVECOARSE3,QUVECOARSE3,QUVE
QUVEFOLIAGE3,E06,829,Foliage,QUVEFOLIAGE3,QUVEFOLIAGE3,QUVE
QUVEMINERAL1,E07,254986,Mineral,QUVEMINERAL1,QUVEMINERAL1,QUVE
None,E08,NA,None,NA,NA,QUVE
None,E09,NA,None,NA,NA,QUVE
None,E10,NA,None,NA,NA,QUVE
None,E11,NA,None,NA,NA,QUVE
None,E12,NA,None,NA,NA,QUVE
QUVE800SAP,F01,261,Outer,QUVE800SAP,QUVE800SAP,QUVE
QUVE1000HEART1,F02,141,Inner,QUVE1000HEART1,QUVE1000HEART1,QUVE
QUVE50BARK1,F03,1989,Bark,QUVE50BARK1,QUVE50BARK1,QUVE
QUVEBRANCH2,F04,265,Branch,QUVEBRANCH2,QUVEBRANCH2,QUVE
QUVECOARSE4,F05,3324,Coarse,QUVECOARSE4,QUVECOARSE4,QUVE
QUVEFOLIAGE4,F06,981,Foliage,QUVEFOLIAGE4,QUVEFOLIAGE4,QUVE
QUVEMINERAL2,F07,540112,Mineral,QUVEMINERAL2,QUVEMINERAL2,QUVE
None,F08,NA,None,NA,NA,QUVE
None,F09,NA,None,NA,NA,QUVE
None,F10,NA,None,NA,NA,QUVE
None,F11,NA,None,NA,NA,QUVE
None,F12,NA,None,NA,NA,QUVE
QUVE1000SAP,G01,214,Outer,QUVE1000SAP,QUVE1000SAP,QUVE
QUVE50HEART2,G02,2547,Inner,QUVE50HEART2,QUVE50HEART2,QUVE
QUVE125BARK1,G03,2292,Bark,QUVE125BARK1,QUVE125BARK1,QUVE
QUVEBRANCH3,G04,772,Branch,QUVEBRANCH3,QUVEBRANCH3,QUVE
QUVEFINE1,G05,916,Fine,QUVEFINE1,QUVEFINE1,QUVE
QUVEROT1,G06,502698,Rot,QUVEROT1,QUVEROT1,QUVE
QUVEMINERAL3,G07,256076,Mineral,QUVEMINERAL3,QUVEMINERAL3,QUVE
None,G08,NA,None,NA,NA,QUVE
None,G09,NA,None,NA,NA,QUVE
None,G10,NA,None,NA,NA,QUVE
None,G11,NA,None,NA,NA,QUVE
None,G12,NA,None,NA,NA,QUVE
QUVE50HEART1,H01,166,Inner,QUVE50HEART1,QUVE50HEART1,QUVE
QUVE125HEART2,H02,2030,Inner,QUVE125HEART2,QUVE125HEART2,QUVE
QUVE200BARK1,H03,6429,Bark,QUVE200BARK1,QUVE200BARK1,QUVE
QUVEBRANCH4BARK,H04,4072,Branch,QUVEBRANCH4BARK,QUVEBRANCH4BARK,QUVE
QUVEFINE2,H05,2226,Fine,QUVEFINE2,QUVEFINE2,QUVE
QUVEROT2,H06,205875,Rot,QUVEROT2,QUVEROT2,QUVE
QUVEMINERAL4,H07,502340,Mineral,QUVEMINERAL4,QUVEMINERAL4,QUVE
None,H08,NA,None,NA,NA,QUVE
None,H09,NA,None,NA,NA,QUVE
None,H10,NA,None,NA,NA,QUVE
None,H11,NA,None,NA,NA,QUVE
None,H12,NA,None,NA,NA,QUVE
RM503Outer,A01,10230,Outer,RM503,RM503,Wood
WP401Outer,A02,3358,Outer,WP401,WP401,Wood
RO3Outer,A04,11234,Outer,RO3,RO3,Wood
YB12Outer,A05,83,Outer,YB12,YB12,Wood
RM503Inner,B01,64634,Inner,RM503,RM503,Wood
WP401Inner,B02,752,Inner,WP401,WP401,Wood
HM104Outer,B03,269,Outer,HM104,H104,Wood
RO3Inner,B04,103161,Inner,RO3,RO3,Wood
YB12Inner,B05,934,Inner,YB12,YB12,Wood
RM3Outer,C01,7470,Outer,RM3,RM3,Wood
WPX7Outer,C02,3516,Outer,WPX7,WPX7,Wood
HM104Inner,C03,46,Inner,HM104,H104,Wood
RO102Outer,C04,161,Outer,RO102,RO102,Wood
YBYBOuter,C05,594,Outer,YBYB,YBYB,Wood
RM3Inner,D01,13357,Inner,RM3,RM3,Wood
WPX7Inner,D02,48,Inner,WPX7,WPX7,Wood
HM8Outer,D03,1231,Outer,HM8,H8,Wood
RO102Inner,D04,38,Inner,RO102,RO102,Wood
YBYBInner,D05,4265,Inner,YBYB,YBYB,Wood
RM14Outer,E01,28688,Outer,RM14,RM14,Wood
WP7Outer,E02,314,Outer,WP7,WP7,Wood
HM8Inner,E03,95,Inner,HM8,H8,Wood
ROBowserOuter,E04,44,Outer,ROBowser,ROBowser,Wood
RM3Mineral,E05,27379,Mineral,RM3,RM3,Soil
RM14Inner,F01,42368,Inner,RM14,RM14,Wood
WP7Inner,F02,6592,Inner,WP7,WP7,Wood
HMX3Outer,F03,45,Outer,HMX3,HX3,Wood
ROBowserInner,F04,376,Inner,ROBowser,ROBowser,Wood
WPX7Mineral,F05,232464,Mineral,WPX7,WPX7,Soil
HMX3Inner,G03,311,Inner,HMX3,HX3,Wood
HM8Mineral,G05,34940,Mineral,HM8,H8,Soil
YB13Mineral,H05,95224,Mineral,YB13,YB13,Soil
