Date,Plot,Plot letter,Soil temp,Soil moisture,VWC,
4/24/21,1-3,U,6.5,,14.5,
4/24/21,1-2,U,5.6,,17.2,
4/24/21,1-1,U,5.4,,14.9,
4/24/21,1-6,U,5.7,,20.4,
4/24/21,1-5,U,6,,16.1,
4/24/21,1-4,U,6.2,,20.4,
4/24/21,2-5,U,5.1,,20.9,
4/24/21,2-4,U,5,,27.8,
4/24/21,2-3,U,5.1,,14.6,
4/24/21,2-2,U,5.4,,27.5,
4/24/21,2-6,U,5,,31,
4/24/21,2-1,U,5.6,,25.2,
4/24/21,1-2,I,5.8,,24.4,
4/24/21,1-1,I,5.2,,25.1,
4/24/21,1-3,I,5.5,,25.1,
4/24/21,2-1,I,5.8,,21.5,
4/24/21,2-2,I,6.2,,24.5,
4/24/21,2-3,I,5.7,,24.1,
4/24/21,1-1,WS,5,,69.9,
4/24/21,1-2,WS,5.2,,59.1,
4/24/21,1-3,WS,5.3,,58.6,
4/24/21,1-2,WD,5.2,,36.8,
4/24/21,1-3,WD,5.6,,37.3,
4/24/21,1-1,WD,5.4,,30.8,
4/24/21,2-2,WS,5.8,,47.6,
4/24/21,2-3,WS,5.4,,67.4,
4/24/21,2-1,WS,5.6,,67.1,
4/24/21,2-1,WD,5,,37.7,
4/24/21,2-2,WD,5.5,,64.8,
4/24/21,2-3,WD,5.4,,27.7,
8/24/20,2-5,U,18.3,1.237,8.3,
8/24/20,2-4,U,18.2,1.322,13.8,
8/24/20,2-6,U,18.3,1.411,19.6,
8/24/20,2-1,U,18,1.215,7.1,
8/24/20,2-2,U,18.2,1.333,14.5,
8/24/20,2-3,U,19,1.231,8.1,
8/25/20,1-1,WS,18.5,2.173,59.2,
8/25/20,1-3,WS,18.5,2.016,51.7,
8/25/20,1-2,WS,18.3,2.041,52.6,
8/25/20,1-3,WD,18.7,1.369,16.8,
8/25/20,1-2,WD,18.1,1.649,35.1,
8/25/20,1-1,WD,18.1,1.524,27.3,
8/25/20,2-2,WS,19,1.805,43.5,
8/25/20,2-1,WS,18.8,2.033,52.4,
8/25/20,2-3,WS,18.8,2.143,57.6,
8/25/20,2-2,WD,19.1,1.287,11.4,
8/25/20,2-1,WD,18.7,1.296,11.9,
8/25/20,2-3,WD,18.5,1.206,6.5,
8/26/20,1-1,U,13.5,17.2,1.374,
8/26/20,1-2,U,13.2,16.5,1.363,
8/26/20,1-3,U,13.5,14.1,1.328,
8/26/20,1-4,U,13.4,11.8,1.291,
8/26/20,1-5,U,13.1,14.7,1.335,
8/26/20,1-6,U,13.3,11.8,1.289,
8/27/20,2-1,I,16.1,1.204,6.4,
8/27/20,2-2,I,15.7,1.252,9.3,
8/27/20,2-3,I,16.1,1.234,8.3,
8/27/20,1-1,I,16.5,1.431,21,
8/27/20,1-2,I,16.5,1.272,10.5,
8/27/20,1-3,I,16.3,1.381,17.7,
12/14/20,1-1,I,4.1,,32.4,
12/14/20,1-2,I,5,,22,
12/14/20,1-3,I,4.8,,23.2,
12/14/20,2-1,I,3.9,,28.5,
12/14/20,2-2,I,5.4,,20.2,
12/14/20,2-3,I,3.9,,24.5,
12/14/20,1-1,WD,4.6,,40.4,
12/14/20,1-2,WD,5.5,,40.6,
12/14/20,1-3,WD,5.3,,34.3,
12/14/20,2-1,WD,2.1,,38.3,
12/14/20,2-2,WD,2.6,,24.5,
12/14/20,2-3,WD,5.4,,28,
12/14/20,1-1,WS,3.7,,75.6,
12/14/20,1-2,WS,3.3,,62.4,
12/14/20,1-3,WS,3.9,,58.3,
12/14/20,2-1,WS,4.1,,63.2,
12/14/20,2-2,WS,4,,50.8,
12/14/20,2-3,WS,4,,63.7,
12/14/20,1-1,U,3.9,,11.4,
12/14/20,1-2,U,4.2,,24.8,
12/14/20,1-3,U,4,,25.1,
12/14/20,1-4,U,4.3,,21.3,
12/14/20,1-5,U,5,,20.4,
12/14/20,1-6,U,4.5,,14.3,
12/14/20,2-1,U,4.1,,26.9,
12/14/20,2-2,U,4,,30.2,
12/14/20,2-3,U,3.1,,24.8,
12/14/20,2-4,U,4.1,,26.5,
12/14/20,2-5,U,4,,21.8,
12/14/20,2-6,U,3.7,,26.1,
2/28/21,1-1,I,1.4,,34.4,
2/28/21,1-2,I,2.8,,30,
2/28/21,1-3,I,1.4,,25.8,
2/28/21,2-1,I,2.5,,31.5,
2/28/21,2-2,I,3.6,,28.6,
2/28/21,2-3,I,1.7,,35.5,
2/28/21,1-1,U,1.9,,19.4,
2/28/21,1-2,U,1.8,,27.3,
2/28/21,1-3,U,1.7,,27.2,
2/28/21,1-4,U,2.1,,23.6,
2/28/21,1-5,U,1.9,,18.7,
2/28/21,1-6,U,1.5,,18.7,
2/28/21,2-1,U,Can’t find,,,
2/28/21,2-2,U,2.4,,21.5,
2/28/21,2-3,U,0.8,,29,
2/28/21,2-4,U,1,,32.1,
2/28/21,2-5,U,2.5,,23.9,
2/28/21,2-6,U,Can’t find,,,
2/28/21,1-1,WD,1.4,,41.2,
2/28/21,1-2,WD,2.8,,39.1,
2/28/21,1-3,WD,2.6,,25.7,
2/28/21,2-1,WD,-0.7,,0.5,
2/28/21,2-2,WD,-0.7,,0,
2/28/21,2-3,WD,2.1,,25.8,
2/28/21,1-1,WS,1.2,,75.9,
2/28/21,1-2,WS,1,,51.7,
2/28/21,1-3,WS,1.7,,59.5,
2/28/21,2-1,WS,Can’t find ,,,
2/28/21,2-2,WS,1,,55.3,
2/28/21,2-3,WS,1,,58.4,
7/20/20,2-5,U,17.9,,16.5,
7/20/20,2-4,U,18.7,,13.6,
7/20/20,2-6,U,18.6,,16.8,
7/20/20,2-1,U,18.1,,25,
7/20/20,2-2,U,18.2,,20.1,
7/20/20,2-3,U,19.3,,4.3,
7/21/20,1-1,WS,12.9,,72.8,
7/21/20,1-2,WS,12.9,,58.9,
7/21/20,1-3,WS,12.8,,63.7,
7/21/20,1-1,WD,12.8,,34.1,
7/21/20,1-2,WD,12.4,,34.9,
7/21/20,1-3,WD,12.3,,27.3,
7/21/20,2-2,WD,12.8,,30.7,
7/21/20,2-1,WD,13,,18.7,
7/21/20,2-3,WD,12.6,,20.9,
7/21/20,2-2,WS,13.7,,49.5,
7/21/20,2-3,WS,13.4,,59.9,
7/21/20,2-1,WS,13.5,,61.9,
7/22/20,1-1,U,13.5,,17.2,
7/22/20,1-2,U,13.2,,16.5,
7/22/20,1-3,U,13.5,,14.1,
7/22/20,1-4,U,13.4,,11.8,
7/22/20,1-5,U,13.1,,14.7,
7/22/20,1-6,U,13.3,,11.8,
6/15/20,1-1,U,13.5,,17.2,
6/15/20,1-2,U,13.2,,16.5,
6/15/20,1-3,U,13.5,,14.1,
6/15/20,1-4,U,13.4,,11.8,
6/15/20,1-5,U,13.1,,14.7,
6/15/20,1-6,U,13.3,,11.8,
6/16/20,2-1,U,12.8,,33.3,
6/16/20,2-3,U,13.1,,14,
6/16/20,2-2,U,12.5,,26.3,
6/16/20,2-4,U,13.3,,14.1,
6/16/20,2-5,U,12.5,,19.6,
6/16/20,2-6,U,13,,20.2,
6/17/20,1-1,WS,12.9,,72.8,
6/17/20,1-2,WS,12.9,,58.9,
6/17/20,1-3,WS,12.8,,63.7,
6/17/20,1-1,WD,12.8,,34.1,
6/17/20,1-2,WD,12.4,,34.9,
6/17/20,1-3,WD,12.3,,27.3,
6/17/20,2-2,WD,12.8,,30.7,
6/17/20,2-1,WD,13,,18.7,
6/17/20,2-3,WD,12.6,,20.9,
6/17/20,2-2,WS,13.7,,49.5,
6/17/20,2-3,WS,13.4,,59.9,
6/17/20,2-1,WS,13.5,,61.9,
6/18/20,2-1,I,13.3,,14,
6/18/20,2-3,I,13.8,,30.8,
6/18/20,1-1,I,13.7,,30.4,
6/18/20,1-3,I,13.6,,15.9,
6/18/20,1-2,I,12.9,,17.8,
3/30/21,1-3,U,,,22.5,
3/30/21,1-2,U,,,26.7,
3/30/21,1-1,U,,,17.6,
3/30/21,1-6,U,,,22.1,
3/30/21,1-5,U,,,21.8,
3/30/21,1-4,U,,,22.9,
3/30/21,2-5,U,,,20.8,
3/30/21,2-4,U,,,30.7,
3/30/21,2-3,U,,,14.8,
3/30/21,2-2,U,,,30.2,
3/30/21,2-6,U,,,27.9,
3/30/21,2-1,U,,,27.6,
3/30/21,1-2,I,,,,
3/30/21,1-1,I,,,,
3/30/21,1-3,I,,,,
3/30/21,2-1,I,,,,
3/30/21,2-2,I,,,,
3/30/21,2-3,I,,,,
3/30/21,1-1,WS,,,75.9,
3/30/21,1-2,WS,,,54.4,
3/30/21,1-3,WS,,,61.9,
3/30/21,1-2,WD,,,42.6,
3/30/21,1-3,WD,,,42.6,
3/30/21,1-1,WD,,,27.8,
3/30/21,2-2,WS,,,52.9,
3/30/21,2-3,WS,,,68.3,
3/30/21,2-1,WS,,,66.5,
3/30/21,2-1,WD,,,34.8,
3/30/21,2-2,WD,,,31.4,
3/30/21,2-3,WD,,,40,
5/18/21,1-3,U,10.4,,12.5,
5/18/21,1-2,U,10.2,,12.1,
5/18/21,1-1,U,10.3,,10,
5/18/21,1-6,U,10.3,,13.6,
5/18/21,1-5,U,9.9,,16.5,
5/18/21,1-4,U,10.4,,15.6,
5/18/21,2-5,U,9.3,,18.6,
5/18/21,2-4,U,9.7,,21.9,
5/18/21,2-3,U,10.4,,12.9,
5/18/21,2-2,U,9.7,,23.6,
5/18/21,2-6,U,9.8,,20.4,
5/18/21,2-1,U,9.6,,24.3,
5/18/21,1-2,I,9.1,,22.2,
5/18/21,1-1,I,9.5,,26.4,
5/18/21,1-3,I,9.6,,24.1,
5/18/21,2-1,I,9.6,,17.9,
5/18/21,2-2,I,8.9,,17.3,
5/18/21,2-3,I,10.7,,30.7,
5/18/21,1-1,WS,10,,60.7,
5/18/21,1-2,WS,10.5,,73.2,
5/18/21,1-3,WS,10.6,,57.6,
5/18/21,1-2,WD,9,,34.1,
5/18/21,1-3,WD,8.9,,42.8,
5/18/21,1-1,WD,9.4,,32.4,
5/18/21,2-2,WS,10.3,,51.2,
5/18/21,2-3,WS,9.9,,65.5,
5/18/21,2-1,WS,10.5,,64.3,
5/18/21,2-1,WD,9.3,,38.8,
5/18/21,2-2,WD,9.2,,21.2,
5/18/21,2-3,WD,9.1,,26.9,
10/27/20,1-2,U,10.7,1.397,18.8,
10/27/20,1-3,U,11.4,1.398,18.8,
10/27/20,1-1,U,11.1,1.464,23.3,
10/27/20,1-6,U,10.2,1.299,12.4,
10/27/20,1-5,U,10.7,1.324,13.9,
10/27/20,1-3,U,10.8,1.359,16.2,
10/27/20,1-2,WS,11.1,2.224,62.3,
10/27/20,1-1,WS,10.6,2.146,57.6,
10/27/20,1-2,WS,10.7,1.998,51.7,
10/27/20,1-1,WD,11,1.642,34.7,
10/27/20,1-2,WD,11.5,1.498,25.5,
10/27/20,1-1,WD,11.2,1.401,19,
10/27/20,2-1,WS,10.6,1.892,47.4,
10/27/20,1-31,WS,10.8,2.145,57.6,
10/27/20,2-2,WS,10.7,2.154,58.2,
10/27/20,2-1,WD,10.7,1.359,16.1,
10/27/20,2-2,WD,10.7,1.457,22.8,
10/27/20,1-31,WD,10.7,1.478,24.2,
10/27/20,2-2,I,9.9,1.356,16.1,
10/27/20,1-31,I,10.4,1.383,17.8,
10/27/20,2-1,I,10.9,1.258,9.7,
10/27/20,1-2,I,10.5,1.439,21.6,
10/27/20,1-2,I,10.8,1.308,12.9,
10/27/20,1-1,I,11.2,1.404,19.2,
11/5/20,2-5,U,9.6,1.215,7.4,
11/5/20,2-4,U,9.6,1.427,20.9,
11/5/20,2-6,U,9.3,1.439,21.8,
11/5/20,2-1,U,9.2,1.468,23.6,
11/5/20,2-2,U,9.2,1.371,17.2,
11/5/20,2-2,U,9.3,1.311,13.3,
11/5/20,1-0,U,10.2,1.249,9.5,
11/5/20,1-0,U,10,1.234,8.6,
11/5/20,1-0,U,9.8,1.273,10.9,
9/21/20,2-5,U,12,1.162,4.1,
9/21/20,2-4,U,12.2,1.184,5.4,
9/21/20,2-6,U,11.6,1.269,10.4,
9/21/20,2-1,U,11.9,1.142,3.1,
9/21/20,2-2,U,11.5,1.186,5.5,
9/21/20,2-3,U,12.2,1.131,2.6,
9/22/20,1-1,WS,11.4,1.779,42.2,
9/22/20,1-3,WS,11.5,1.871,46.5,
9/22/20,1-2,WS,11.6,2.114,55.9,
9/22/20,1-3,WD,13.1,1.25,9.2,
9/22/20,1-2,WD,12.6,1.164,4.3,
9/22/20,1-1,WD,13.2,1.222,7.5,
9/22/20,2-2,WS,11.9,1.841,45.2,
9/22/20,2-1,WS,12.4,2.076,54.3,
9/22/20,2-3,WS,12.2,2.1,55.5,
9/22/20,2-2,WD,12.1,1.174,4.8,
9/22/20,2-1,WD,11.8,1.256,9.4,
9/22/20,2-3,WD,12.5,1.161,4.1,
9/23/20,1-1,U,12.9,1.151,3.6,
9/23/20,1-2,U,12.7,1.166,4.4,
9/23/20,1-3,U,12.9,1.114,1.7,
9/23/20,1-3,I,12.7,1.223,7.6,
9/23/20,1-2,I,13,1.183,5.3,
9/23/20,1-1,I,12,1.299,12.4,
9/23/20,2-2,I,12.4,1.182,5.2,
9/23/20,2-1,I,12.1,1.143,3.1,
9/23/20,2-3,I,11.4,1.187,5.6,
9/24/20,1-4,U,13,1.127,2.4,
9/24/20,1-5,U,13,1.146,3.4,
9/24/20,1-6,U,12.7,1.148,3.5,